cgpa,coding_score,dsa_score,projects_count,project_complexity,internships,communication_score,mock_interview_score,resume_score,certifications,aptitude_score,technical_score,skill_match_score,ats_score,github_score,backlogs,college_tier,placement_ready
8.91,65,68,1,Low,1,56,54,50,2,69,52,26,27,74,0,2,1
9.71,60,38,4,High,1,78,36,65,2,65,60,39,45,64,1,2,1
7.53,69,28,4,High,1,56,39,67,2,67,71,67,52,77,0,3,1
7.98,43,33,2,Medium,0,52,18,69,2,58,45,23,35,54,1,3,1
7.18,58,46,5,Medium,2,67,62,90,1,50,53,48,72,34,0,2,1
8.13,72,57,1,Low,2,71,43,69,0,58,59,72,73,40,1,3,1
7.81,62,68,3,High,1,78,45,59,0,32,37,15,38,41,2,2,1
8.58,59,42,1,Low,0,87,39,44,2,48,39,35,38,31,0,1,1
5.23,35,27,2,Medium,1,83,39,63,2,45,20,28,37,0,0,2,0
6.38,60,30,2,Medium,1,77,50,66,1,60,71,23,55,41,0,3,1
9.35,49,51,1,Medium,3,79,58,57,0,55,43,29,59,0,0,2,1
9.32,54,45,0,Low,3,83,35,74,1,61,20,48,54,35,0,3,1
7.12,47,31,1,Low,2,74,38,64,2,31,42,25,39,8,0,2,0
9.77,83,34,3,Low,0,33,65,31,3,81,75,38,35,48,0,2,1
7.51,59,67,5,Medium,3,70,62,98,1,65,31,54,71,39,0,2,1
6.25,35,11,3,Medium,1,86,36,56,4,54,28,34,38,13,0,2,0
7.89,53,33,4,Medium,2,47,39,84,1,59,38,36,62,0,1,2,0
7.63,48,43,1,High,1,54,64,66,3,71,41,35,57,5,0,2,1
6.16,38,13,1,Low,0,60,23,43,1,36,49,50,33,31,0,3,0
7.53,66,28,3,Medium,1,65,27,70,2,41,48,50,80,28,0,3,0
8.97,47,10,5,Medium,0,52,32,77,1,72,44,46,41,39,1,2,1
7.3,73,66,6,Medium,1,63,52,80,3,63,73,45,49,43,2,3,1
7.48,64,41,3,Medium,2,71,42,77,1,38,54,18,51,34,1,2,1
8.33,73,100,1,Medium,0,25,53,61,3,50,35,54,74,50,0,3,1
7.66,50,25,2,Medium,0,63,46,63,0,73,44,54,47,16,0,3,1
6.05,44,21,1,Low,0,55,31,22,0,50,45,32,15,34,1,2,0
5.79,27,15,2,Low,1,31,18,66,3,53,23,36,54,7,1,3,0
6.6,43,38,1,Low,3,72,34,56,2,34,61,35,41,76,1,3,1
6.34,53,35,3,Medium,0,67,56,43,2,54,49,39,44,9,1,1,0
7.05,67,61,0,Low,0,64,45,50,4,33,39,69,49,33,0,3,1
6.18,33,13,3,Medium,2,72,25,68,1,22,20,19,36,13,2,1,0
8.4,56,23,4,Medium,2,67,59,95,3,65,63,41,88,6,0,1,1
8.83,61,20,3,High,0,48,40,51,2,76,50,16,15,51,1,3,0
7.29,36,10,1,Medium,2,75,25,74,6,48,41,42,72,13,2,3,0
9.04,71,46,1,Medium,1,78,77,54,2,53,42,35,51,0,2,2,1
8.23,50,35,4,High,2,42,44,63,1,76,53,43,41,43,1,3,1
7.23,51,31,2,Medium,1,77,49,45,1,48,37,31,55,17,0,3,0
8.39,54,61,2,Medium,3,56,40,83,1,56,45,33,42,30,0,3,1
8.12,49,57,1,High,0,73,43,45,4,75,42,35,48,42,0,1,0
6.8,50,34,2,Medium,0,64,40,64,2,44,55,40,28,22,0,3,1
8.13,56,17,2,Low,1,58,41,73,4,47,41,57,47,26,0,3,0
6.43,44,27,3,Low,1,71,36,53,4,56,42,58,37,75,0,3,0
6.83,42,25,2,Low,2,56,37,64,0,40,36,42,42,0,1,2,0
5.78,48,28,2,Medium,1,81,41,60,1,42,60,61,53,3,2,1,1
7.95,77,48,4,High,0,84,63,63,1,38,65,68,48,24,0,2,1
8.84,64,39,2,Low,1,52,45,60,3,61,64,57,31,74,1,2,1
7.27,65,44,4,High,1,58,39,58,2,52,34,63,57,26,0,3,1
5.94,28,15,0,Medium,3,55,31,86,4,56,27,15,52,21,0,3,0
8.5,62,51,0,Low,1,68,56,40,1,67,70,40,41,27,1,2,1
8.67,48,44,1,Medium,1,85,22,37,1,64,34,22,31,40,0,3,1
6.55,31,13,3,Medium,1,31,33,77,4,52,37,23,59,18,0,3,0
7.39,45,55,5,Medium,2,36,19,87,5,51,30,42,60,32,0,3,0
8.03,72,40,1,Medium,1,60,46,40,2,62,48,31,44,68,2,2,1
6.09,57,20,2,Medium,0,65,15,45,2,32,63,54,35,43,1,2,0
7.69,59,52,2,Low,2,45,48,58,2,25,50,34,37,20,1,2,1
8.92,45,24,0,High,1,65,33,31,1,73,61,36,45,33,0,1,1
6.23,45,41,0,Low,1,48,31,63,4,54,53,41,62,75,0,1,0
8.25,63,13,0,Low,3,53,47,60,2,54,51,70,61,49,0,3,0
9.9,71,75,1,Low,2,84,34,71,1,77,55,39,43,45,0,1,1
6.64,27,33,2,Medium,2,55,33,59,3,39,25,22,31,0,1,2,0
6.92,40,10,1,Low,3,55,45,43,1,41,34,15,44,38,1,3,0
9.08,63,26,4,High,0,64,51,59,1,50,72,40,59,55,3,3,1
9.24,71,79,6,High,1,81,52,100,3,68,44,30,63,48,3,3,1
5.99,20,10,1,Medium,1,61,31,54,1,25,20,22,62,14,0,2,0
8.75,60,34,3,Medium,0,51,43,86,0,49,38,46,66,92,1,3,0
8.97,65,16,2,Medium,2,72,61,65,1,63,69,62,45,56,0,2,1
7.38,64,44,1,Medium,2,76,68,70,4,37,70,40,49,63,0,3,1
6.49,57,41,4,High,1,82,47,44,2,39,48,49,41,35,1,2,1
8.27,66,61,1,Low,3,61,52,65,0,29,51,48,52,36,1,2,1
8.37,50,19,0,Low,0,70,37,44,3,64,50,39,51,42,1,3,1
5.92,22,10,3,High,1,76,41,63,3,36,32,15,31,10,1,2,0
5.33,37,37,1,Medium,1,65,44,58,4,28,41,34,30,21,1,2,0
8.95,75,72,2,Low,0,85,58,49,2,44,60,55,52,54,0,2,1
6.92,68,29,4,Medium,0,73,60,59,2,44,58,51,44,30,1,2,1
7.99,66,67,3,Medium,2,95,59,100,3,35,57,54,95,44,1,1,1
5.75,49,39,2,Medium,1,78,47,49,1,67,28,43,51,31,0,3,0
5.68,48,54,5,High,2,27,21,90,3,20,35,18,50,48,0,2,0
6.15,40,31,2,Low,1,54,39,49,1,40,40,29,50,11,3,2,0
8.18,57,10,1,Low,0,32,30,53,2,57,55,52,54,0,1,3,1
5.84,65,48,4,Medium,0,50,56,68,3,34,45,40,57,32,0,3,0
6.89,40,48,4,Medium,1,55,27,70,3,51,42,47,52,31,0,3,1
7.42,73,42,4,Low,3,77,60,54,0,42,45,49,50,63,1,2,1
7.22,49,33,5,High,0,54,37,70,2,69,28,15,23,15,1,2,1
6.73,66,48,3,Medium,3,87,60,76,2,35,60,61,74,50,0,2,1
8.65,45,10,0,Low,3,49,37,61,2,30,22,27,15,49,1,3,0
6.29,54,67,0,Medium,3,56,33,43,1,30,39,15,26,47,1,2,0
6.42,39,18,4,Medium,1,39,45,83,1,51,30,25,38,7,2,3,0
8.44,43,42,7,High,3,88,37,100,0,55,62,21,56,12,0,3,1
6.64,52,40,1,Medium,1,90,60,65,1,57,47,51,52,39,2,3,1
6.51,61,66,0,Low,0,59,26,59,4,53,47,42,35,69,0,1,1
8.38,50,46,1,Low,0,35,32,55,3,49,53,27,15,30,0,2,1
7.83,38,28,1,Low,3,58,55,58,3,48,64,51,51,19,3,1,1
7.9,56,30,3,Low,0,66,43,86,4,49,52,49,83,6,0,3,0
7.23,52,53,1,Low,1,50,41,36,1,73,48,36,30,23,0,1,1
5.5,49,11,2,High,0,100,73,54,4,50,52,21,47,15,0,3,0
9.08,75,67,2,Medium,0,94,61,54,1,83,48,36,57,45,0,1,1
7.35,53,25,0,High,0,30,38,47,2,61,50,28,17,1,0,1,0
5.17,63,67,6,Medium,2,41,49,96,2,40,72,62,67,31,1,2,1
8.99,66,53,1,Low,1,70,35,39,0,47,53,22,18,19,0,3,1
7.06,48,48,8,High,2,42,30,94,2,52,45,36,54,47,2,1,0
8.09,39,33,3,Medium,1,65,41,94,2,54,40,28,77,6,1,3,1
8.66,58,19,3,High,3,62,27,79,2,57,46,57,63,23,0,3,1
7.25,49,26,0,Medium,1,61,59,40,1,48,47,42,45,35,0,3,0
7.14,64,59,2,Medium,1,80,63,57,4,26,54,54,49,29,0,3,1
8.69,67,54,1,Medium,1,94,67,58,3,73,56,40,33,87,0,3,1
6.52,34,46,1,Low,1,69,55,58,3,46,20,15,45,39,0,3,0
7.56,57,50,2,Low,2,40,48,69,3,35,49,37,63,34,0,2,1
6.07,54,28,1,Low,1,64,43,64,4,51,72,59,57,39,1,3,1
9.57,85,52,1,Low,2,51,34,73,0,52,58,68,66,3,0,2,1
6.62,60,48,4,Medium,2,97,49,74,3,54,33,32,39,60,0,2,1
9.55,76,23,4,Medium,0,74,49,62,2,73,73,44,56,55,0,3,1
8.75,63,74,0,Low,1,69,58,46,4,70,78,37,52,36,3,2,1
7.14,57,51,8,High,0,73,50,85,1,48,54,41,63,45,0,2,1
6.74,65,68,2,Medium,1,61,30,47,1,43,71,54,26,52,0,2,1
5.0,24,10,2,Medium,1,84,50,47,1,32,36,47,58,6,3,3,0
7.13,48,57,1,High,3,51,55,50,2,41,49,40,32,36,2,2,0
7.22,44,69,2,High,0,79,64,55,3,50,35,42,48,47,0,2,1
8.44,65,30,2,Low,0,90,44,55,2,54,57,36,52,48,3,3,1
6.69,64,61,3,High,0,47,48,74,1,38,48,45,66,33,2,1,1
7.17,45,36,0,High,1,68,31,47,1,37,37,36,21,32,0,3,0
7.28,24,10,1,Medium,2,69,58,46,0,50,28,20,35,42,0,3,1
6.95,46,44,2,Medium,2,42,36,53,3,44,43,35,42,43,0,2,0
9.11,75,70,3,Low,1,37,41,61,5,46,40,48,64,21,0,3,0
7.83,63,40,2,Low,2,45,37,46,1,64,65,56,49,49,2,3,1
7.22,58,63,1,Low,0,61,50,70,3,72,45,59,72,43,1,3,1
7.42,51,15,3,High,0,69,52,59,2,63,46,15,44,53,1,1,1
6.9,36,10,1,Low,0,55,16,29,0,40,38,47,32,22,0,3,0
5.79,50,42,4,Medium,2,96,70,70,3,43,31,15,46,22,0,1,0
7.77,46,37,7,High,1,80,53,77,2,72,26,35,69,0,1,2,1
7.42,80,50,1,Low,1,70,74,40,1,38,51,87,38,34,1,3,1
7.18,59,58,2,Medium,0,54,65,61,1,60,35,38,55,59,3,2,1
7.6,48,46,5,High,1,63,41,75,2,35,48,41,48,32,0,3,0
8.0,50,52,3,High,3,81,59,66,3,75,38,31,38,28,0,2,1
5.53,42,32,3,Medium,0,78,38,83,2,37,54,48,71,51,3,3,0
8.32,57,53,4,High,2,78,45,60,1,83,58,50,41,55,0,2,1
5.91,58,38,2,Medium,0,56,63,50,4,65,54,34,43,20,1,2,0
6.92,53,72,3,Low,0,52,32,67,1,48,22,31,42,55,0,2,1
7.39,45,24,3,Medium,1,36,36,80,5,43,42,18,26,0,2,2,0
7.21,75,89,2,Medium,0,71,45,44,2,53,57,50,46,54,3,2,1
5.2,41,34,5,High,1,34,23,53,0,38,21,21,39,31,0,2,0
7.6,64,29,6,Medium,1,61,42,66,1,48,52,48,33,61,1,3,0
7.56,48,59,4,Medium,1,54,57,59,2,32,33,23,34,36,1,2,0
8.75,66,53,1,Low,2,66,57,64,3,52,50,43,31,34,0,2,1
5.67,47,50,3,Low,1,82,58,66,2,30,37,35,55,24,2,2,0
8.26,36,48,1,Low,0,86,23,34,0,62,35,31,45,75,1,3,0
6.84,75,62,3,Medium,1,74,57,55,0,61,63,58,58,46,1,3,1
8.39,75,48,1,Medium,1,48,44,39,2,65,60,50,49,56,1,3,1
6.75,45,51,3,Low,0,61,47,55,1,52,48,25,34,0,0,2,1
6.24,34,28,2,Low,2,46,61,81,2,35,26,27,59,3,0,2,0
5.8,48,48,2,Medium,1,50,15,56,2,46,30,30,41,39,0,2,0
8.45,61,15,1,Medium,2,70,55,57,2,66,46,58,52,4,0,3,1
5.79,49,46,4,Medium,2,44,64,70,0,36,57,58,66,40,0,2,0
8.9,65,40,5,High,1,53,40,81,0,60,66,30,66,24,2,3,1
8.57,67,76,1,Medium,1,42,46,41,2,56,69,61,39,19,0,2,1
7.01,69,62,1,Medium,1,73,62,69,2,69,75,67,45,26,1,2,1
6.22,54,46,3,Low,1,55,17,69,2,56,43,19,43,62,0,2,1
9.0,51,47,4,High,2,25,36,82,3,67,54,50,58,37,1,2,1
6.65,66,36,4,Medium,2,91,49,88,1,27,47,58,69,21,0,1,0
5.74,64,74,4,High,0,80,79,55,4,45,58,33,50,53,0,2,1
8.79,100,100,1,Low,1,25,50,54,1,57,68,61,31,76,0,2,1
10.0,56,50,1,Low,3,75,41,65,0,63,53,46,44,25,0,3,1
6.29,50,63,3,Medium,1,89,61,56,3,27,38,44,36,49,1,2,0
6.08,21,11,4,Low,2,58,36,79,1,32,31,15,61,32,0,2,0
8.88,69,41,2,Low,2,64,62,77,4,58,64,69,62,58,0,2,1
10.0,63,49,0,Low,1,56,69,43,2,78,61,18,26,24,0,2,1
8.05,81,68,1,Low,1,71,51,62,2,48,61,75,63,25,1,1,1
7.12,43,29,2,Medium,1,80,66,55,3,45,42,43,39,0,0,2,0
7.53,34,36,3,Medium,1,40,53,63,1,74,63,28,44,7,1,2,1
9.76,62,52,0,Medium,1,49,35,48,3,60,33,52,62,29,1,2,1
5.31,20,10,1,Low,1,63,23,36,0,40,20,15,45,6,0,3,0
8.36,69,61,3,Medium,2,67,53,78,2,55,64,53,55,40,0,3,1
7.82,32,40,4,Low,0,69,36,51,0,37,35,31,37,53,0,2,0
9.62,68,55,3,Low,0,58,70,30,0,69,62,54,30,34,0,2,1
5.69,20,36,3,Medium,0,46,16,30,1,35,33,15,15,11,0,1,0
6.38,44,17,2,Medium,1,79,49,63,1,46,43,28,55,0,1,2,0
9.23,85,71,3,Medium,0,40,41,37,1,66,60,58,65,95,3,2,1
6.71,54,25,0,Low,1,53,43,49,2,71,60,33,34,6,0,2,1
6.19,36,13,4,Medium,0,62,63,58,1,30,32,33,35,7,0,3,0
8.94,63,39,3,Medium,1,70,73,59,2,70,52,36,42,51,1,2,1
5.54,43,20,3,High,1,56,43,83,1,53,50,52,62,30,2,3,0
5.4,48,30,2,Medium,1,75,54,56,1,34,47,61,39,61,1,3,0
6.71,33,24,2,Medium,1,84,49,67,2,55,40,25,41,34,3,3,1
7.37,61,60,0,Medium,0,50,40,37,1,71,77,66,53,34,0,3,1
6.43,20,14,0,Low,2,69,56,47,1,37,42,22,36,32,1,1,0
7.56,47,14,3,Medium,0,66,59,59,3,55,57,26,55,51,2,1,1
8.47,54,59,6,High,1,55,45,95,1,62,81,44,69,19,0,3,1
5.68,51,28,1,Medium,2,27,30,77,3,49,43,39,44,49,0,2,0
5.62,43,34,1,Medium,1,68,40,71,1,52,36,15,39,21,3,3,0
9.27,48,45,0,Medium,2,70,49,56,2,63,58,50,50,26,1,2,1
6.22,35,32,2,Low,0,81,42,31,0,52,35,30,18,23,3,2,0
8.18,61,64,2,Low,1,55,59,48,1,44,48,58,33,28,3,3,1
6.71,49,46,4,Medium,1,49,45,55,2,50,32,43,33,20,2,2,0
8.88,56,31,3,Low,0,45,29,61,1,53,56,45,54,53,1,2,1
6.98,46,69,3,Medium,1,25,17,48,0,35,20,24,32,0,1,3,0
6.27,55,46,0,Low,1,54,55,20,2,40,43,62,45,11,1,1,1
5.85,38,29,2,High,1,100,36,87,2,47,37,63,58,36,0,2,0
8.45,59,60,1,Medium,3,84,49,65,3,62,47,37,24,33,2,2,1
5.99,71,58,1,Medium,0,44,41,33,1,29,28,57,37,62,2,2,0
7.15,35,35,7,High,0,52,19,96,1,39,20,15,73,28,0,2,0
8.98,41,71,5,High,1,52,40,61,2,68,36,23,42,0,3,1,1
5.95,55,39,1,Medium,1,87,51,65,2,50,53,37,34,34,0,1,0
5.25,33,23,1,Medium,2,100,40,52,2,51,40,40,26,30,3,3,0
8.61,57,46,2,Low,1,63,71,42,2,74,55,28,46,38,0,3,1
8.7,52,57,1,Medium,0,66,16,68,3,64,39,60,48,21,0,3,1
7.18,49,16,4,High,1,71,35,85,3,45,47,52,78,23,1,1,0
7.42,73,26,3,Medium,2,61,45,79,1,53,35,54,67,32,0,1,1
6.36,57,36,3,Medium,1,67,31,64,1,66,24,30,38,7,2,3,0
6.07,56,19,3,Low,1,62,73,75,3,78,53,55,70,4,1,3,0
9.41,49,32,0,Low,0,70,72,27,3,67,43,15,15,37,0,2,1
8.01,44,43,3,Low,0,25,21,57,2,61,57,46,32,8,0,2,1
8.41,26,10,3,High,0,53,46,44,2,65,39,29,27,27,0,2,1
7.58,45,15,1,Medium,1,40,42,39,3,53,63,15,36,15,3,2,1
8.26,71,55,5,Medium,2,74,75,88,2,70,54,55,76,16,0,3,1
8.26,65,63,3,Low,1,47,43,77,2,68,63,58,56,30,0,2,1
9.63,65,25,3,High,0,33,46,55,3,67,54,19,19,80,0,2,0
8.38,60,59,2,Low,0,29,54,43,1,53,67,31,20,34,1,3,1
8.7,53,54,1,Low,1,70,62,42,3,40,41,69,36,44,0,1,1
9.04,66,65,3,Medium,1,45,46,56,0,68,68,49,34,42,0,3,1
5.75,53,60,3,Low,1,59,32,77,3,46,32,50,61,3,0,3,1
6.65,30,59,2,Low,1,90,34,63,1,39,26,41,68,46,0,1,0
7.6,59,40,5,Medium,1,68,26,90,4,39,45,48,72,30,0,3,1
8.2,70,55,2,Low,0,52,58,42,2,63,74,70,35,15,0,2,1
6.53,44,29,2,High,0,40,37,46,3,28,20,15,25,16,2,1,0
7.05,60,47,4,Low,0,69,53,71,2,53,46,39,47,31,3,3,1
6.34,81,84,1,Low,0,59,54,49,1,56,57,15,37,63,1,3,1
7.83,55,23,3,Low,0,72,34,53,2,60,25,15,51,19,0,3,1
9.32,70,41,2,Low,0,25,44,48,3,56,51,40,36,94,2,3,1
7.65,47,58,3,Low,2,82,55,90,3,38,21,20,71,9,2,2,0
8.73,64,65,3,Medium,1,31,29,55,1,65,28,39,65,50,0,3,1
5.29,47,32,2,Medium,1,53,39,62,1,55,41,35,43,0,1,3,0
7.76,58,58,3,High,2,87,46,66,1,46,44,43,47,32,0,2,1
5.65,31,31,2,Low,0,25,22,53,6,49,32,29,36,25,0,3,0
8.88,65,73,2,High,2,60,35,89,3,78,63,54,66,16,2,2,1
5.98,63,50,4,Medium,1,57,44,71,2,48,40,27,45,67,3,3,0
7.38,59,61,3,Medium,1,61,66,51,1,47,70,38,50,44,1,3,1
6.39,59,85,4,High,1,68,42,45,0,59,51,43,24,29,1,2,1
7.11,49,48,6,High,0,62,35,58,2,41,57,41,40,37,1,1,1
7.97,66,51,3,High,3,37,35,67,0,39,29,23,48,27,0,2,1
9.22,68,63,3,Medium,0,63,48,79,2,70,49,63,72,65,1,2,1
5.72,32,21,0,Low,0,61,57,22,0,38,40,40,49,39,0,2,0
7.72,60,82,5,High,0,60,63,85,2,49,46,29,43,43,0,2,1
7.99,46,39,2,Medium,0,99,51,44,1,47,29,28,28,39,0,2,0
8.35,52,37,1,Low,0,86,43,29,2,51,24,63,15,1,0,2,1
5.94,47,25,4,Medium,0,94,30,60,3,61,55,42,36,57,3,1,1
8.22,62,64,4,Medium,0,68,39,50,3,76,66,55,28,35,0,2,1
8.99,49,52,3,Low,2,94,29,57,1,81,56,32,37,49,0,3,1
7.46,67,44,4,Medium,0,46,54,55,3,65,52,42,42,55,3,3,1
6.98,58,54,1,Medium,0,55,60,21,2,55,37,61,38,54,0,1,1
8.7,53,19,4,High,1,51,36,92,3,41,43,40,60,10,0,2,0
9.29,47,40,1,Low,3,53,44,66,1,59,30,31,51,9,2,3,0
6.17,45,43,5,Medium,0,62,28,55,1,71,39,34,43,71,2,2,0
6.86,45,62,0,Medium,0,65,19,44,3,44,55,77,39,0,0,3,0
8.14,60,35,2,Medium,3,69,50,63,2,73,34,39,31,14,0,2,1
7.08,48,19,2,Medium,0,93,56,29,5,51,52,27,33,29,0,1,0
8.78,38,18,1,Low,1,34,50,95,4,26,49,25,76,23,1,3,0
9.03,59,26,4,Medium,0,40,65,60,1,67,64,59,78,24,1,3,1
7.18,49,59,1,Low,3,25,28,56,1,66,54,19,48,41,1,3,0
8.53,68,75,4,Medium,3,46,56,58,1,57,50,53,64,58,3,3,1
5.7,35,34,2,High,2,54,38,40,0,58,32,17,34,20,1,2,0
6.76,70,72,1,Low,0,49,47,63,2,28,21,15,44,36,0,2,1
7.56,32,29,1,Low,1,41,29,66,1,36,32,15,43,18,0,2,0
8.41,76,56,3,High,0,63,52,57,0,59,55,52,48,35,0,2,1
8.43,57,39,2,Medium,2,55,43,52,2,62,43,61,55,0,2,3,0
6.63,60,42,0,Medium,2,46,62,72,2,64,53,58,53,42,0,2,1
5.9,46,13,3,Medium,1,64,45,77,4,52,44,32,51,42,1,2,0
8.8,76,62,1,Low,1,51,71,55,1,44,48,64,39,42,0,2,1
5.58,38,30,0,Medium,0,82,34,43,2,45,56,31,40,0,0,2,0
7.88,44,46,6,High,1,59,15,55,0,61,54,16,27,14,3,1,1
6.28,64,51,2,Low,1,55,41,43,2,23,54,47,40,56,2,2,0
9.6,66,48,5,Low,1,66,41,69,2,62,55,25,52,10,1,2,1
8.98,66,38,2,Medium,1,25,20,65,2,55,60,61,61,53,0,3,1
7.75,71,55,4,Medium,0,83,73,49,3,45,43,58,54,33,0,3,1
5.82,32,38,1,Low,2,76,24,57,2,50,43,17,36,18,2,2,0
6.54,56,27,3,Medium,2,47,48,65,1,33,40,41,54,19,0,3,0
8.88,56,45,1,Medium,3,41,63,69,0,64,39,41,46,10,0,3,1
8.36,58,49,0,Low,1,43,27,54,2,63,52,56,29,63,0,2,1
5.82,45,25,2,High,1,36,31,45,2,57,41,16,37,43,0,1,0
7.03,34,19,1,Medium,0,31,44,57,1,36,60,45,49,33,1,3,0
9.28,56,47,1,Low,3,36,33,46,0,43,51,22,44,51,2,2,1
5.93,61,30,3,High,1,25,40,85,4,47,68,61,65,46,0,2,0
9.32,76,63,1,Medium,1,55,59,41,1,58,73,73,31,64,2,2,1
5.72,43,21,3,High,1,59,41,61,1,78,50,27,42,12,0,3,0
7.03,55,59,1,Low,2,85,47,62,2,55,43,58,62,60,3,3,1
8.14,55,78,4,High,0,79,41,64,2,56,28,15,46,58,3,3,1
6.69,66,38,3,Medium,0,48,32,56,0,46,41,60,49,47,2,2,0
8.6,59,54,5,Medium,1,57,52,76,1,43,55,66,46,29,3,1,1
5.49,45,25,5,Medium,2,81,39,85,0,49,38,39,48,2,2,3,0
7.83,70,69,1,Low,1,53,63,57,2,53,60,48,52,46,2,2,1
8.99,54,23,3,Medium,1,65,65,52,3,59,25,38,25,66,1,2,1
8.73,81,68,2,Low,1,51,38,65,3,59,68,48,48,25,3,2,1
9.34,47,24,2,Low,1,62,51,51,2,64,60,81,55,48,0,2,1
7.66,75,54,5,High,1,63,78,62,2,32,30,35,57,35,1,3,1
5.19,36,14,5,High,1,55,25,72,2,50,42,51,62,13,0,3,0
8.62,58,57,2,Low,0,81,66,60,4,47,64,36,55,11,2,1,1
7.93,34,16,0,Low,2,46,39,52,1,52,57,59,51,5,1,3,1
5.27,36,38,4,High,1,64,50,82,2,56,33,59,55,34,0,3,0
5.0,27,18,3,Low,2,94,34,83,1,61,46,35,50,31,1,3,0
9.47,59,44,5,Medium,0,67,71,64,0,41,63,51,42,40,1,3,1
6.66,48,40,0,Low,0,47,30,44,2,48,48,24,40,18,0,1,0
9.4,77,47,1,Low,2,68,63,69,4,65,78,43,45,24,1,3,1
6.6,52,44,2,Low,0,100,55,51,0,29,39,41,38,32,0,1,1
6.21,50,62,1,Low,1,62,50,61,3,55,51,62,54,22,0,2,1
8.47,47,26,4,Low,1,76,34,69,2,58,38,26,63,32,2,1,1
5.96,35,47,1,Low,2,62,22,89,3,47,34,62,74,14,2,2,0
6.21,68,75,4,High,0,66,55,59,3,35,54,39,38,34,3,3,1
6.72,41,21,0,High,0,60,34,59,3,53,33,34,46,27,0,3,0
9.09,84,41,0,Low,2,43,46,41,3,70,65,61,60,57,0,3,1
6.73,47,42,3,High,1,68,50,73,2,50,52,37,58,52,0,3,1
8.14,58,37,4,Low,0,39,21,71,0,49,73,19,30,28,0,2,0
8.91,76,86,4,Low,0,56,66,47,4,54,34,36,30,56,1,1,1
6.74,65,51,3,High,3,96,61,73,0,51,76,56,48,75,0,3,1
5.65,42,22,1,Low,0,60,48,56,3,43,35,30,56,36,0,3,0
6.55,44,18,2,Medium,1,45,42,61,2,58,55,48,62,49,0,3,1
6.66,49,55,1,Low,1,66,51,56,2,42,56,52,42,16,0,2,1
9.12,68,44,3,High,2,52,33,73,2,45,71,49,49,26,1,3,1
9.08,75,58,3,High,2,63,67,54,1,64,52,36,43,41,0,3,1
7.01,52,55,3,Medium,1,40,41,96,3,44,41,61,72,30,0,1,1
7.62,63,41,0,Low,0,76,47,35,3,62,54,26,20,59,2,3,1
6.77,70,53,1,Medium,2,64,50,69,3,48,50,39,48,27,0,2,1
6.05,50,39,0,Low,1,43,42,38,2,53,61,30,18,28,0,2,0
6.32,51,50,2,High,3,68,47,38,0,34,39,48,51,52,0,3,1
9.25,47,46,4,Medium,1,96,59,50,0,62,27,51,27,32,2,3,1
6.45,20,15,2,Medium,1,47,46,48,4,38,20,16,16,11,0,3,0
5.86,49,40,3,Medium,0,75,34,77,4,29,20,34,58,34,2,3,0
7.27,52,35,4,Low,1,69,55,70,4,41,40,44,40,8,0,2,0
6.04,40,10,2,High,0,69,40,51,4,38,44,61,43,1,0,2,0
8.85,66,55,3,Medium,1,78,68,55,3,74,52,20,39,7,3,2,1
7.38,53,70,3,High,0,57,62,57,2,45,40,49,54,35,3,3,1
8.36,73,42,3,High,0,64,55,51,3,41,50,54,44,62,1,3,1
8.84,64,38,1,Low,0,63,56,55,2,60,56,41,62,53,1,3,1
6.93,42,21,2,High,0,46,50,49,1,50,47,40,41,48,0,3,0
6.44,60,57,1,Medium,2,70,61,53,2,41,56,56,60,65,0,3,1
8.32,57,51,0,Low,1,55,59,60,3,54,76,59,55,37,0,3,1
6.93,57,42,2,Low,1,94,52,58,2,61,53,76,78,32,1,3,1
6.49,43,21,1,Low,0,52,31,44,2,55,51,39,49,55,0,3,0
5.13,32,28,7,High,1,38,15,66,1,47,20,24,45,5,1,1,0
6.93,52,17,1,Low,1,82,48,55,3,35,36,33,48,7,1,2,0
5.58,43,37,2,Medium,3,48,35,73,1,77,46,44,52,19,3,2,0
6.2,52,54,2,High,2,40,36,74,0,58,36,36,50,22,3,3,1
8.79,59,27,5,High,1,68,54,66,2,65,47,42,37,36,2,3,1
9.72,46,14,2,Low,2,85,55,100,4,49,41,35,57,10,1,2,0
9.51,61,71,2,Medium,0,75,51,48,0,73,51,42,62,43,1,3,1
8.63,71,45,0,Low,1,51,52,23,1,52,87,50,19,31,3,2,1
8.02,54,59,1,Low,0,64,55,29,1,52,53,48,27,56,1,2,1
6.72,47,35,0,Low,0,56,31,55,2,28,60,37,42,4,0,3,1
8.12,70,51,4,Medium,0,91,71,80,3,40,69,62,62,39,0,2,1
6.27,39,38,1,Low,1,54,29,52,2,51,32,31,44,16,0,2,0
8.29,41,20,4,High,1,63,57,71,2,68,46,29,44,29,0,1,1
9.78,66,53,3,Medium,2,65,52,50,0,72,54,71,55,58,0,1,1
8.56,55,37,2,Low,1,41,40,65,0,65,50,40,60,38,2,3,0
7.78,45,16,2,Low,0,58,18,34,1,53,31,41,46,24,0,1,1
5.38,40,38,3,Low,1,58,46,78,3,37,30,19,47,37,1,3,0
8.52,67,47,3,High,2,86,58,84,1,61,61,19,58,57,3,3,1
6.18,46,34,2,Medium,2,65,44,66,2,55,48,29,35,32,1,2,0
